页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数
1,4844541017064960,人民日报,2022-12-08 23:07:28,【#2023年放假安排#出炉！#2023中秋国庆连休8天#】经国务院批准，现将2023年元旦、春节、清明节、劳动节、端午节、中秋节和国庆节放假调休日期的具体安排通知如下。 一、元旦：2022年12月31日至2023年1月2日放假调休，共3天。 二、春节：1月21日至27日放假调休，共7天。1月28日（星期六）、1月29日（星 ...全文,13689,9568,55589
1,4844663787489605,中国新闻网,2022-12-09 07:15:19,【#2023拼假攻略#】#春节能拼出16天长假#明年放假安排有一些特别之处，其中，清明节只放假1天，没有#调休# 。中秋国庆假期连休8天，成为超级黄金周。不过，春节、国庆假期后，均需要连上7天班。小伙伴关心，怎么拼假让自己获得超长假期呢？来看2023年拼假攻略。 2023年拼假攻略来了！春节可拼出16天长假 ,911,2540,13810
1,4844722499097109,吃瓜冲浪日记,2022-12-09 11:08:37,#调休#周六周日本来就是休息的日子，为什么要算在节假日里？新四大发明:调休，公摊，离婚冷静期，灵活就业。 ,1479,2517,65011
1,4844713645180968,应旺,2022-12-09 10:33:26,#调休#随着2023年放假时间的出炉，对于今年来说是一个特别的年份，因为很多人过年都没有能够回家了，而过年对于中国人来说又是一个特别重要的日子，所以才有了#2023年春节可拼出16天长假#这样一个大家期待的时间调配周期。我们常说生活要有仪式感，其实过年回家更重要的是将这种仪式感呈现出来，让大家 ...全文,122,418,777
1,4844713687388319,大漂亮傻事,2022-12-09 10:33:36,#调休#调休这玩意是少有的全国上上下下打工人和学生一致反对并且深恶痛绝的玩意了。  我觉得早应该取消掉了。本来现在居民消费就不振，你又不让人放假，又不让人出去玩，人要怎么消费？又哪里有时间，有心情去消费？人又不是机器，你连上7天班之后能睡一觉就扫除所有疲惫，第二天就兴高采烈的出去玩吗 ...全文,1161,1147,88567
1,4844697446777190,山东消防,2022-12-09 09:29:03,快新年了，要休假啦～体贴的班长怕蓝朋友赶不上车，让提前练习一下 山东消防的微博视频 #明年五一休5天##调休# ,9,44,127
1,4844692983776173,第一眼的意中人,2022-12-09 09:11:20,调休，是唯一一个韩国人都不愿意偷的中国发明 。  #调休# ,1355,2250,65702
1,4844716951342370,成都吃土青年,2022-12-09 10:46:34,看了明年的放假安排，突然没什么期待了，春节、劳动节、端午节、中秋节、国庆节都要#调休#……  最惨的还是大假之后的日子，春节过后第一个工作日，就要连上7天，身体疲惫，也完全没状态进入工作中。国庆之后，又是连上7天班，真滴遭不住，并且清明节也只剩1天了，天气本来就 ...全文,16,74,338
1,4844688274888777,央视网,2022-12-09 08:52:37,【#明清春节休一个月# 简直不敢想】#古人怎么休假# ？在汉代，到了春节可以固定连休三天，而且汉代不鼓励官员在节日加班，如果自愿加班，还会受到上司的“规劝”。到了唐代，官员可以享受7天的春节“黄金周”。宋代，黄金周的制度被延续下来，不仅如此，休假制度扩展到官员以外所有服役的人群， ...全文,1882,1639,37550
1,4844683710170060,一个专员,2022-12-09 08:34:29,#2023中秋国庆连休8天##调休#  我来翻译一下2023年的假期： 元旦放三天，春节放七天，然后连上七天，单休连上八天。 清明节只放一天。 五一放五天，前面的周日上班，所以单休要连上十二天，后面的周六上班。 端午节放三天，周日上班，连上六天 中秋和国庆一起放，放八天，然后连上七天，单休连上八天。 ...全文,3250,3356,103763
1,4844544321388768,西部决策,2022-12-08 23:20:35,#调休# 【来了来了！#2023年放假安排出炉# 】#一图看懂2023放假安排# 国务院办公厅发布2023年部分节假日安排。元旦：2022年12月31日至2023年1月2日放假调休，共3天。春节：1月21日至27日放假调休，共7天。清明节：4月5日放假1天。劳动节：4月29日至5月3日放假调休，共5天。端午节：6月22日至24日放假调 ...全文,624,1654,15785
1,4844673320883665,巍岳钦禹,2022-12-09 07:53:12,现在的#调休#就是忽悠的代名词。东拼西凑的调休实际上就是占用周末假期，天天把人当傻子玩，有意思吗？  距离上班的地方有几十公里，本来一周回一次稳稳的，这一调休完全打乱了节奏。用我们自己的双休日换了个凌乱，还要连上好几天班，厌恶至极。  这种调休是没有经过广大劳动人民同意的强制性政策，甚 ...全文,357,1274,23769
1,4844725587416665,瑶碧丹华,2022-12-09 11:20:53,#调休#2023年部分节假日安排已经公布，元旦放假调休共3天，春节放假调休共7天，清明节放假1天，劳动节放假调休共5天，端午节放假调休共3天，中秋国庆放假调休8天。#2022春节放假调休安排# 其实说白了，就是元旦、清明节、端午节各自放假一天，春节放假五天，劳动节放假三天，中秋国庆放假六天；多出来 ...全文,3,8,33
1,4844708091920419,法治日报,2022-12-09 10:11:21,#调休#【#用调休补休代替加班工资合法吗#?】我国劳动法第四十四条规定：有下列情形之一的，用人单位应当按照下列标准支付高于劳动者正常工作时间工资的工资报酬：（一）安排劳动者延长工作时间的，支付不低于工资的150%的工资报酬；（二）休息日安排劳动者工作又不能安排补休的，支付不低于工资的200% ​,18,12,21
1,4844723603506113,枣庄公安,2022-12-09 11:13:00,#反诈全民行动# 【#女子多次出轨后与丈夫合谋仙人跳# 骗取近18万元双双被判刑】12月8日，江西法院披露一起敲诈案件。一女子婚内多次出轨，被丈夫发现后与丈夫合谋，敲诈勒索情夫钱财。女子与丈夫事先商议，约情夫到酒店开房，趁其进卫生间洗澡时，丈夫冲进来将情夫拖到房间，并殴打、拍裸体照片、手机 ​,0,28,18
1,4844929442644043,YYY_yueyaoyi,2022-12-10 00:50:55,Tmd 能不能别调休 烦死了#调休滚出节假日##2023年部分节假日安排出炉# ,0,0,0
1,4844914070786614,你群离岛,2022-12-09 23:49:51,调休已经过时啦，应该调命 ,8,12,78
1,4844696848043163,唐朝孟德,2022-12-09 09:26:41,#调休# 每次调休我都要科普一个冷知识：法国有个神奇的东西叫桥假。意思是但凡法定假日在周二或者周四，只跟周末隔了一天的话，就默认那一天也连起来放掉。 ,69,94,2499
1,4844901676358418,iQOO手机,2022-12-09 23:00:36,关机，睡觉！睡前，这个，#调休#，别看。 ,3,22,66
1,4844744860240017,梗指南,2022-12-09 12:37:28,调休，一个韩国人也不愿意偷的东西 ,6936,701,28529
1,4844926900371554,准富婆,2022-12-10 00:40:49,新中国四大发明：调休，公摊，户口，离婚冷静期 ,0,0,0
1,4844926037397786,石榴棒棒冰,2022-12-10 00:37:24,我恨大促我恨调休 ,0,0,0
1,4844924720388356,柒柒七七柒柒77,2022-12-10 00:32:10,看热搜 我作证 确实只有中国调休 ,0,0,0
1,4844924484980196,DOYoungwoo_25,2022-12-10 00:31:14,#广州复课#你们jyj在搞什么？今早骂完调休 晚上就骂复课 高二生不是特种兵不是鱼不用鳃呼吸望周知 莫名其妙中考延期一个月还不够 现在又祸害我？自愿回校你直接让我签生死状好了啊 ,0,2,7
1,4844924334248434,有点内个叭,2022-12-10 00:30:38,谁他妈发明的调休和年度总结…能不能去死啊 ,0,0,0
